graph,order,size,time,iterations,error,technique
"web-Stanford","281903","2312497","405.637","63","0","pagerankSeq"
"web-BerkStan","685230","7600595","898.034","64","0","pagerankSeq"
"web-Google","916428","5105039","1459.277","61","0","pagerankSeq"
"web-NotreDame","325729","1497134","214.521","58","0","pagerankSeq"
"soc-Slashdot0811","77360","905468","85.368","55","0","pagerankSeq"
"soc-Slashdot0902","82168","948464","99.108","56","0","pagerankSeq"
"soc-Epinions1","75888","508837","78.008","54","0","pagerankSeq"
"coAuthorsDBLP","299067","1955352","231.651","45","0","pagerankSeq"
"coAuthorsCiteseer","227320","1628268","185.09","48","0","pagerankSeq"
"soc-LiveJournal1","4847571","68993773","12092.729","51","0","pagerankSeq"
"coPapersCiteseer","434102","32073440","2276.541","51","0","pagerankSeq"
"coPapersDBLP","540486","30491458","2154.713","49","0","pagerankSeq"
"indochina-2004","7414866","194109311","19784.188","61","0","pagerankSeq"
"italy_osm","6686493","14027956","4139.658","63","0","pagerankSeq"
"great-britain_osm","7733822","16313034","6618.38","67","0","pagerankSeq"
"germany_osm","11548845","24738362","10739.26","65","0","pagerankSeq"
"asia_osm","11950757","25423206","7751.263","63","0","pagerankSeq"
